model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],2.516413189996554,4.8993392549705135,0.9999999226464209,1.0,12.328766822814945,18,1,2.2021825794677725
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],0.24910620367955708,1737.081981645144,0.9999999999999998,0.694406548431105,432.7196350097655,509,1,20.6620766773814
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],75.71071691254132,5.7039791440875485,1.0,1.0,431.85235595703125,128,1,2.168877386217443
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],204.13924810219464,4.590784505573736,0.9999999999999999,1.0,937.1593017578124,148,1,1.494991533855657
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],7.819110052936049,13.462292579415468,1.0000000000000002,1.0,105.26316070556643,73,1,3.986034200615863
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],21.07128292251163,2.5842763855353468,1.0,1.0,54.45402145385742,19,1,1.415211456871462
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],34.29401569215964,3.4166934448246424,1.0000000000000009,1.0,117.1721420288087,175,1,1.549771163967797
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],19.230678933127038,12.49621915872367,0.9999999999999998,1.0,240.31079101562494,51,2,1.0485605498507589
best_model.pt,52697878,20260207,256.73526,1.7,[146.14289987],41.94854421577891,6.120242279896631,1.0,1.0,256.7352600097656,150,1,2.6001424166049785
best_model.pt,53375682,20260207,125.0,2.2,[2.06456001],2.5779514439931455,48.48809383247579,0.9999999999999996,1.0,124.99999999999994,99,1,21.04004217342031
best_model.pt,53854143,20260207,571.02985,1.09,[366.8150792],233.03930204791206,2.4503585391945855,0.9999999999999998,1.0,571.0298461914061,155,2,1.2480352882186352
best_model.pt,54547571,20260207,31.74728,6.5,[5.58273037],1.2720192653125664,24.95815592454302,0.9999999399208843,1.0,31.747280120849613,3,1,2.839716296083542
best_model.pt,55113470,20260207,420.41623,3.33,[34.42696221],28.922155847825874,14.536129911059858,0.9999999999999988,1.0,420.41622924804636,511,1,3.365204277507061
best_model.pt,55199224,20260207,78.07889,6.5,[6.50898521],2.695960573808504,28.961424635275268,0.9999999999999997,1.0,78.0788879394531,57,1,3.455603790042349
best_model.pt,55273179,20260207,148.76033,4.1,[10.45811196],13.811023024737528,10.771129637725931,0.9999999999999997,0.9951923076923077,148.76033020019526,261,2,1.6271048507966277
best_model.pt,55954706,20260207,1000.0,33.01,[0.71305768],0.4854220385,11.985978288090669,0.00581827,0.04428571428571429,5.81827,8,55,-0.6368985489989579
best_model.pt,56069198,20260207,355.1182,6.0,[32.74950256],21.263231778545965,16.701044393324,1.0000000000000002,1.0,355.1181945800782,59,1,1.7835073988873333
best_model.pt,56094571,20260207,305.08475,6.1,[0.99213791],24.19666505551386,12.608544772842029,1.000000000000001,0.79836400253127,305.08474731445347,290,20,1.066974585240014
best_model.pt,56864799,20260207,6.76347,5.22,[1.4825993],0.5740822070572282,11.781341258093718,0.9999998589963206,1.0,6.763470172882082,16,1,1.2569620175523362
best_model.pt,57374168,20260207,122.44898,13.0,[0.78899592],0.9084284732833995,134.7919523088498,1.0,0.1177777777777778,122.44898223876953,7,6,9.36861171606537
best_model.pt,57521810,20260207,626.1568,4.5,[311.66269259],10.275219343527084,60.93852767944354,1.0000000000000004,0.9890791896869244,626.1567993164065,689,2,12.541895039876342
best_model.pt,57579039,20260207,69.34497,5.0,[24.4980702],6.831703774397097,10.150463609464849,1.0,1.0,69.344970703125,1,1,1.0300927218929696
best_model.pt,57654377,20260207,2386.3882,430.5,[3.73110848],3.2437750571,653.0591717524028,0.8876920024008239,0.009805265531881546,2118.377705200001,897,72,0.5169783315967544
best_model.pt,57699816,20260207,73.77049,11.1,[1.97007807],2.2197384485282337,33.233852109365095,1.0000000000000002,0.9857142857142858,73.77049255371095,39,5,1.9940406276783096
best_model.pt,57813819,20260207,1.3888888,2.63,[0.74368292],0.03350352857151356,41.45376446477902,0.9999993133549375,0.75,1.3888888359069824,3,1,14.7618869433362
best_model.pt,57950075,20260207,3.5460992,3.69,[1.46942648],0.36901986008202114,9.609481656824016,0.9999997310639072,1.0,3.5460991859436035,6,1,1.6041955305720197
best_model.pt,57950895,20260207,56.603775,2.13,[18.7517804],5.0713411583753105,11.161497934217087,0.9999999999999999,1.0,56.603775024414055,35,1,4.2401395936763855
best_model.pt,57951243,20260207,373.10922,2.23,[167.37513284],68.34166978427912,5.45946884426971,0.9999999999999999,1.0,373.1092224121093,158,2,1.44819228590769
best_model.pt,58134130,20260207,8.695652,2.0,[4.70832875],1.7868313181469482,4.8665182064059325,0.9999998903274635,1.0,8.69565200805664,5,1,1.4332591032029662
best_model.pt,58283047,20260207,420.41623,3.33,[11.93555116],37.4065672886955,11.239101807024069,0.9999999999999998,0.7999637314302593,420.41622924804676,309,14,2.3751057250823426
best_model.pt,58417305,20260207,1.0332358,52.0,[0.00749337],0.0214456458,37.38952969512837,0.7760854481738391,1.894973485882577e-05,0.80188,2,72,-0.28097058278599296
