ad_id,period,budget_real,target_CPA_real,conversion_real,conversion_model,CPA_real,CPA_model,spend_real,spend_model,total_win_real,total_win_model,win_rate_real,win_rate_model,budget_used_real,budget_used_model,CPA_violation_real,CPA_violation_model
40094971,20260207,12.32876712328767,1.53,5.453421629999999,4.857736832071621,1.5977326880555174,2.537964634776769,8.71311,12.328766822814949,1266,18,0.00809462915601023,0.4864864864864865,0.7067300333333334,0.9999999226464212,0.0442697307552401,0.6588004459055101
46573939,20260207,432.71963,80.19,3.0510733199999986,0.0114874076,28.255768039032258,144.49348054120227,86.21042,1.66,78283,9,0.016314056475982077,0.0002392057538068,0.19922927924485423,0.003836202163469,-0.647639755093749,0.8018889654827197
49311445,20260207,431.8523599999999,1.8,279.38898144000007,86.47127584766127,1.1955223798678374,4.994171147927384,334.01577999999995,431.8523559570312,25292,116,0.001249592395332062,0.7204968944099379,0.7734490092864145,0.9999999999999998,-0.3358209000734237,1.7745396001265232
49847522,20260207,937.1593,1.84,756.1369726700001,247.10339664025432,1.1993375443575636,3.792579586955648,906.86346,937.159301757813,43366,163,0.005254064794397732,0.7836538461538461,0.9676726891575423,1.0000000000000004,-0.34818611719697634,1.061184520737061
51225207,20260207,105.26315789473684,2.7,4.752202259999999,15.67966983404404,3.2378546110114437,6.713352711271001,15.38694,105.2631607055664,73031,48,0.024762986572629864,0.1200880264565703,0.14617593,1.0,0.1992054114857198,1.4864268861884915
51225953,20260207,54.45402,1.07,16.520339259999997,22.10198739263261,0.5183937124545469,2.463761200418009,8.56404,54.45402145385742,1187,23,0.0007935552881401257,0.9583333333333334,0.1572710334333443,1.0,-0.5155198949022927,1.3025804482643537
51711872,20260207,117.17214,1.34,105.96849434999996,38.45755013844912,0.566520930284408,3.0467915548492184,60.033370000000005,117.1721420288087,45749,191,0.02908206725573708,0.9227053140096618,0.5123519123231854,1.0000000000000009,-0.5772231863549194,1.2737249842951188
51867779,20260207,240.31079,6.1,60.62360383999997,36.19630921657752,3.105365865362584,6.639096349261733,188.25847,240.31079101562491,9295,50,0.005096781268849043,0.0324999976998946,0.7833958267125666,0.9999999999999998,-0.4909236286290845,0.088376467714328
52697878,20260207,256.73525,1.7,146.14289968,63.561199563601576,1.186323867800787,4.039182043971421,173.37281000000002,256.7352600097657,17489,119,0.025940373776327498,0.4324381926683717,0.6752980356222996,1.0000000000000002,-0.30216243070541937,1.3759893709855409
53375682,20260207,125.0,2.2,2.064560029999999,9.082556081690925,0.611452310253241,13.7626440302788,1.26238,125.00000000000004,5055,231,0.0009694122159363314,0.026927104558902,0.01009904,1.0000000000000002,-0.7220671317030724,5.255747150900696
53854143,20260207,571.02984,1.09,366.8150784600001,251.80027968780243,0.7371172721011375,2.267788759534404,270.38573,571.0298461914061,23132,142,0.012759666832147389,0.8106060606060606,0.47350543011902846,0.9999999999999998,-0.32374562192556194,1.0805400826503544
54547571,20260207,31.747280000000007,6.5,5.582730409999998,0.0,2.2236090744707844,0.0,12.413809999999998,0.0,1179,0,0.0020264695771742866,0.0,0.3910196401077508,0.0,-0.6579062962352639,-1.0
55113470,20260207,420.4162162162162,3.33,34.42696216,74.3539403544095,2.352422488618438,5.654256137467202,80.98676,420.4162292480463,17313,813,0.001576675439634996,0.0674221757951189,0.1926347197757692,0.9999999999999988,-0.2935668202347033,0.6979748549586796
55199224,20260207,78.07889,6.5,6.828174149999999,0.507069282,6.8187481715005775,4.813287164795826,46.5596,2.44067488,41439,10,0.009419024889191954,0.0002070822233969,0.5963148297830566,0.0312590886526539,0.04903818023085808,-0.2594942823391037
55273179,20260207,148.7603305785124,4.1,10.458111869999998,28.179221018435243,2.030104502984247,5.279078680840595,21.23106,148.76033020019537,12559,356,0.003642507033266626,0.0345785731849374,0.14271990333333334,1.0000000000000004,-0.5048525602477446,0.2875801960082466
55954706,20260207,1000.0,33.01,0.7130576899999979,0.4854220385,6.659937991833472,11.985978288090667,4.74892,5.81827,4075,8,0.21335078534031413,0.0442857142857142,0.00474892,0.00581827,-0.7982448351459112,-0.6368985489989579
56069198,20260207,355.11819,6.0,32.74950241,52.89873255600001,2.545594707251004,6.456635292382348,83.36695999999999,341.54783000000003,6120,40,0.0018228933964793137,0.0009742933700796,0.23475834904429982,0.961786343850602,-0.575734215458166,0.0761058820637246
56094571,20260207,305.08474576271186,6.1,0.9921379099999985,0.0,2.440678836675038,0.0,2.42149,0.0,1618,0,0.007816425120772947,0.0,0.007937106111111111,0.0,-0.5998887152991741,-1.0
56864799,20260207,6.76347,5.22,1.48259931,1.440881165000194,3.4828560658105254,4.693978686925568,5.163679999999999,6.763470172882079,3353,9,0.011482876712328767,0.02803738317757,0.7634660906309926,0.9999998589963202,-0.33278619428917133,-0.1007703303464635
57374168,20260207,122.44897959183672,13.0,0.7889959199999992,0.0,2.6231187608676128,0.0,2.06963,0.0,1041,0,0.003721844833750447,0.0,0.016901978333333335,0.0,-0.7982216337794145,-1.0
57521810,20260207,626.15678,4.5,311.66268919000015,43.82807050986408,2.0498868557555228,14.286660985653462,638.8732500000002,626.1567993164051,840623,576,0.04613256575878476,0.0352106666901399,1.0203087635655725,0.9999999999999982,-0.5444695876098838,2.174813552367436
57579039,20260207,69.34497,5.0,24.49807011,10.449719757878803,2.8512694953667923,6.636059690957845,69.8506,69.344970703125,3000,10,0.006489292667099286,0.0266058032276617,1.0072915166017087,1.0,-0.42974610092664156,0.327211938191569
57654377,20260207,2386.38826,430.5,4.378679559999998,0.8648103521,505.21757751097016,27.53878050070522,2212.18588,23.81585,339592,12,0.0321610743339868,0.0001061697585999,0.9270016606601977,0.0099798725805517,0.17355999421828144,-0.936030707315435
57699816,20260207,73.77049180327869,11.1,1.9700780999999987,0.0,5.268613462583035,0.0,10.37958,0.0,5093,0,0.030082693443591258,0.0,0.14070097333333334,0.0,-0.5253501385060328,-1.0
57813819,20260207,1.3888888888888888,2.63,0.7436829199999995,0.5198330344836485,0.3781853696465157,2.6717928103468,0.28125,1.3888888359069824,25133,1,0.04126251846987358,0.0023041474654377,0.2025,0.9999992847442628,-0.8562032815032259,0.0158907582081098
57950075,20260207,3.5460992907801416,3.69,1.4694264899999996,0.8040049172712661,0.6567936583203969,4.410538666156575,0.9651099999999999,3.5460991859436035,1541,4,0.011215429403202328,0.0459770114942528,0.27216102,0.9999997310639072,-0.8220071386665592,0.1952679126728445
57950895,20260207,56.60377358490566,2.13,18.751780509999996,10.52412760538438,0.7874580225661997,5.37847618048437,14.76624,56.60377502441408,9230,66,0.013494152046783626,0.4467592592592592,0.26087024,1.0000000000000002,-0.6303013978562443,1.5251060523516031
