model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],6.7506400320949,1.8263105332070966,0.9999999226464207,0.09481855687463164,12.328766822814941,10,5,0.19366703748900946
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],0.244571133,36.36436371923043,0.020553053941726695,5.3632606164033875e-05,8.89371,3,72,-0.5465224764670461
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],155.62400672771787,2.7749725910709526,0.9999999999999999,0.014750056529473208,431.8523559570312,179,6,0.5416514803236798
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],415.84360578696203,2.253634026019598,0.9999999999999992,0.029665897498498333,937.1593017578118,236,9,0.22480107887904965
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],22.570562868061515,4.663736418854785,1.0000000000000002,0.015405161765499336,105.26316070556642,40,10,0.7273097542556435
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],33.74616223183075,1.6136359289133702,1.0000000000000002,0.14705882352941177,54.45402145385743,20,2,0.5080708876746768
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],52.45780338326576,2.233645563446171,1.0000000000000007,0.28228350004505726,117.17214202880866,304,5,0.6668996326920845
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],0.0,0.0,0.0,0.0,0.0,0,71,-1.0
best_model.pt,52697878,20260207,256.73526,1.7,[146.14289987],84.12496477682869,3.051831969725217,0.9999999999999998,0.11546722189581735,256.73526000976557,177,16,0.7951952259550812
best_model.pt,53375682,20260207,125.0,2.2,[2.06456001],6.406790511434791,19.51054592254188,1.0,0.0007528338385827309,125.0,26,38,7.868429772573725
best_model.pt,53854143,20260207,571.02985,1.09,[366.8150792],501.06817415981214,1.1396250540343753,1.0000000000000009,0.11062773117018976,571.0298461914067,275,7,0.04552754049186112
best_model.pt,54547571,20260207,31.74728,6.5,[5.58273037],0.0,0.0,0.0,0.0,0.0,0,66,-1.0
