model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],4.927610282832665,2.5019763360326754,0.9999999226464209,0.43243243243243246,12.328766822814945,16,1,0.6352786815806365
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],76.10602362526352,5.674351775479246,1.0,0.9921875,431.85235595703125,127,1,2.1524177365545762
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],204.5165483427451,4.582315244265374,0.9999999999999999,0.9864864864864865,937.1593017578124,146,1,1.4903886745324366
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],0.29099351259999995,4.137809985630637,0.011438759694552164,8.267195767195767e-05,1.20408,1,72,0.5325221898349203
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],21.07128292251163,2.5842763855353468,1.0,1.0,54.45402145385742,19,1,1.415211456871462
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],34.29401569215964,3.4166934448246424,1.0000000000000009,1.0,117.1721420288087,175,1,1.549771163967797
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],15.075434856700003,11.376347697687194,0.7136733197671881,0.013256006628003313,171.50340000000006,32,71,0.8649750615647666
best_model.pt,52697878,20260207,256.73526,1.7,[146.14289987],46.222234665599984,5.496855264296355,0.9896456740548044,0.012853692201518288,254.07693944599998,149,72,2.233444182419836
best_model.pt,53375682,20260207,125.0,2.2,[2.06456001],2.551260280880518,48.99537375366693,1.0000000000000002,0.013777777777777778,125.00000000000003,62,60,21.270623950782195
best_model.pt,53854143,20260207,571.02985,1.09,[366.8150792],196.22753098449996,2.4868378920372196,0.8545719024228193,0.03817016317016317,487.98606199999995,131,26,1.2815025833796836
best_model.pt,54547571,20260207,31.74728,6.5,[5.58273037],0.0,0.0,0.0,0.0,0.0,0,66,-1.0
best_model.pt,55113470,20260207,420.41623,3.33,[34.42696221],40.27486218035199,10.438675542246054,0.9999999999999989,0.8029411764705883,420.4162292480464,546,1,2.1347374718941574
best_model.pt,55199224,20260207,78.07889,6.5,[6.50898521],1.5725351984,6.000986343971973,0.12086197051522833,0.00036231884057971015,9.436768252,21,72,-0.07677133169661957
best_model.pt,55273179,20260207,148.76033,4.1,[10.45811196],8.2095502335,9.333535758608402,0.515084497976594,0.015058926233085988,76.62413999999995,138,58,1.2764721891974897
