ad_id,period,budget_real,target_CPA_real,conversion_real,conversion_model,CPA_real,CPA_model,spend_real,spend_model,total_win_real,total_win_model,win_rate_real,win_rate_model,budget_used_real,budget_used_model,CPA_violation_real,CPA_violation_model
39801836,20260207,10.45719,1.15,3.74633019,0.0,1.0395319692843197,0.0,3.89443,0.0,1189,0,0.020152542372881357,0.0,0.37241649047210573,0.0,-0.09605915714406978,-1.0
40094971,20260207,12.32876712328767,1.53,5.453421629999999,0.0,1.5977326880555174,0.0,8.71311,0.0,1266,0,0.00809462915601023,0.0,0.7067300333333334,0.0,0.0442697307552401,-1.0
43248022,20260207,6.674759999999999,1.18,7.7514149399999965,0.0,0.7036341161217725,0.0,5.45416,0.0,1234,0,0.0017424456368257553,0.0,0.8171320017498758,0.0,-0.4036999015917182,-1.0
46398308,20260207,19.791010000000004,1.49,24.211410569999995,0.0,0.5822147354547961,0.0,14.09624,0.0,17809,0,0.028636436726161764,0.0,0.7122547055455986,0.0,-0.6092518553994657,-1.0
48623756,20260207,146.44096,1.33,36.671605389999996,0.0,0.8267388263363945,0.0,30.317839999999997,0.0,3881,0,0.010991220617388841,0.0,0.20703114756964172,0.0,-0.3783918598974478,-1.0
49311445,20260207,431.8523599999999,1.8,279.38898144000007,0.0,1.1955223798678374,0.0,334.01577999999995,0.0,25292,0,0.001249592395332062,0.0,0.7734490092864145,0.0,-0.3358209000734237,-1.0
49847522,20260207,937.1593,1.84,756.1369726700001,0.0,1.1993375443575636,0.0,906.86346,0.0,43366,0,0.005254064794397732,0.0,0.9676726891575423,0.0,-0.34818611719697634,-1.0
49902302,20260207,13.933519999999998,5.21,2.9056562999999986,0.9519754770810862,2.7783705870511954,14.63641240359222,8.07299,13.933520317077637,89933,6,0.013377313024335098,0.0043360282501626,0.5793934339635642,0.999999931555398,-0.46672349576752487,1.8092921874138637
49990380,20260207,24.52830188679245,1.48,8.081450539999999,0.0,0.6440873422706117,0.0,5.205159999999999,0.0,2063,0,0.0027495668399306946,0.0,0.21221036923076925,0.0,-0.5648058498171542,-1.0
50103278,20260207,969.91004,1.21,753.3561821700011,0.0,0.6609873148789418,0.0,497.95888,0.0,38515,0,0.008279768686716683,0.0,0.513407284659101,0.0,-0.45372949183558525,-1.0
50250900,20260207,29.41176470588235,1.1,1.5846344299999995,3.500368137475645,1.1556040720382432,8.402474993282649,1.83121,29.41176414489746,5488,5,0.020882800608828005,0.25,0.062261140000000006,0.9999999351501494,0.05054915639840284,6.6386134646944654
51225207,20260207,105.26315789473684,2.7,4.752202259999999,20.63426057744129,3.2378546110114437,5.101377643707244,15.38694,105.26316070556638,73031,36,0.024762986572629864,0.0049463202759698,0.14617593,0.9999999999999998,0.1992054114857198,0.8893990939309907
51225953,20260207,54.45402,1.07,16.520339259999997,0.0,0.5183937124545469,0.0,8.56404,0.0,1187,0,0.0007935552881401257,0.0,0.1572710334333443,0.0,-0.5155198949022927,-1.0
51316356,20260207,1083.6785099999995,6.0,160.74719046,0.0,3.742855152107397,0.0,601.65345,0.0,22279,0,0.005450919945194754,0.0,0.5551955164267309,0.0,-0.37619080798210053,-1.0
51711872,20260207,117.17214,1.34,105.96849434999996,0.0,0.566520930284408,0.0,60.033370000000005,0.0,45749,0,0.02908206725573708,0.0,0.5123519123231854,0.0,-0.5772231863549194,-1.0
51815043,20260207,131.59317,7.1,23.005162579999997,3.4821464693000004,4.60826780212218,18.73308082874306,106.01395,65.23135,898324,19,0.04486819103559192,8.427810628867424e-05,0.8056189390376416,0.495704677664542,-0.3509481968842,1.6384621239952697
51865028,20260207,10.87915,6.1,1.495436169999999,0.0,4.134726793454517,0.0,6.1832199999999995,0.0,2826,0,0.00098258057786586,0.0,0.5683550645041202,0.0,-0.3221759354992595,-1.0
51867779,20260207,240.31079,6.1,60.62360383999997,0.0,3.105365865362584,0.0,188.25847,0.0,9295,0,0.005096781268849043,0.0,0.7833958267125666,0.0,-0.4909236286290845,-1.0
51981983,20260207,9.803921568627452,7.0,1.8845103699999983,1.3544770086785405,1.7240287194599002,7.238154947298743,3.24895,9.803921699523926,3036,1,0.028914285714285715,0.0049019607843137,0.33139289999999993,0.9999998807907104,-0.7537101829342999,0.0340221353283918
52099940,20260207,736.6481200000002,5.0,182.11165715999994,0.0188362421,2.6855808553227716,0.1369627244956415,489.07558,0.00258,527210,1,0.017040194963024256,1.7274439012593067e-06,0.6639202174302703,3.502350561671515e-06,-0.46288382893544566,-0.9726074551008717
52158782,20260207,402.12405,1.34,294.7058680499997,0.0,0.8504043766019618,0.0,250.61916000000002,0.0,131160,0,0.02709133721650762,0.0,0.6232384260528561,0.0,-0.36536986820749123,-1.0
52697878,20260207,256.73525,1.7,146.14289968,0.0,1.186323867800787,0.0,173.37281000000002,0.0,17489,0,0.025940373776327498,0.0,0.6752980356222996,0.0,-0.30216243070541937,-1.0
52880899,20260207,73.77049180327869,8.0,2.412286369999999,0.5289659790503636,4.581989160764526,139.46143233014013,11.05307,73.77049255371094,6712,2,0.007554305008441193,0.032258064516129,0.14983050444444446,1.0,-0.4272513549044342,16.432679041267516
52881127,20260207,73.77049180327869,8.1,4.142867119999997,0.0,3.102274253005732,0.0,12.85231,0.0,4748,0,0.002931950104977152,0.0,0.1742202022222222,0.0,-0.6170031786412677,-1.0
52896858,20260207,237.28813559322035,6.1,3.673954739999999,7.0760799134,2.1277970343205705,31.11528721824748,7.817430000000001,220.17429,19393,45,0.023086904761904763,0.0082445452227816,0.03294488357142857,0.9278773801695912,-0.6511808140458081,4.10086683683673
53225658,20260207,121.21212121212122,5.1,4.512303389999997,0.0,4.225841738004238,0.0,19.06828,0.0,2791,0,0.0030085156839495526,0.0,0.15731331,0.0,-0.17140358078348267,-1.0
53375682,20260207,125.0,2.2,2.064560029999999,4.589279656480032,0.611452310253241,27.237384103650506,1.26238,125.0,5055,25,0.0009694122159363314,0.0009926355976456,0.01009904,1.0,-0.7220671317030724,11.380628869680054
