model,type,num_trajectories,avg_tCPA,avg_conversion,avg_CPA,avg_CPA_violation,avg_budget_used,avg_win_rate,avg_spend,total_win_num,avg_total_win,segment
best_model.pt,model,814,3.929791212081909,106.6224053915865,12.763308223965222,1.3413991498287163,0.9544914477217634,0.1373983954417906,384.5933836335796,215551,264.8046683046683,low
best_model.pt,model,706,24.315296173095703,0.8774111762544321,22.80465719955428,9.767118627325528,0.1276395344135723,0.0541056412433604,18.56541401663879,10156,14.385269121813032,mid
best_model.pt,model,304,160.64694213867188,0.6585706843768055,533.5854913978725,4.68043639600504,0.4048934440404569,0.1260655589433401,184.83706450971556,77344,254.42105263157896,high
