model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],2.659120464232179,4.636406041863482,0.9999999226464208,0.8,12.328766822814943,16,1,2.030330802981661
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],75.71071691254132,5.7039791440875485,1.0,1.0,431.85235595703125,128,1,2.168877386217443
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],204.4564862218378,4.583661367227654,0.9999999999999999,0.9932432432432432,937.1593017578124,147,1,1.491120263085622
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],9.422496160180163,11.171471735795542,1.0000000000000004,0.5096153846153846,105.26316070556645,53,1,3.137582051296391
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],21.07128292251163,2.5842763855353468,1.0,1.0,54.45402145385742,19,1,1.415211456871462
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],34.29401569215964,3.4166934448246424,1.0000000000000009,1.0,117.1721420288087,175,1,1.549771163967797
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],20.50821727315872,11.717780053577114,0.9999999999999998,0.8394607843137255,240.31079101562494,50,2,0.9209475797988443
best_model.pt,52697878,20260207,256.73526,1.7,[146.14289987],43.827324092571935,5.8578811156622095,1.0,0.9867549668874173,256.7352600097656,149,1,2.4458123243253374
best_model.pt,53375682,20260207,125.0,2.2,[2.06456001],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,53854143,20260207,571.02985,1.09,[366.8150792],234.13263066396124,2.43891610551312,0.9999999999999998,0.9762121212121212,571.0298461914061,155,2,1.2375376429607738
best_model.pt,54547571,20260207,31.74728,6.5,[5.58273037],1.4784033061000001,14.029639872137274,0.6533308892892694,0.005411255411255411,20.74148,5,66,1.1584061341749652
best_model.pt,55113470,20260207,420.41623,3.33,[34.42696221],33.25130047651247,12.64360222245778,0.9999999999999996,0.8992932862190812,420.4162292480467,509,1,2.7968776312722383
best_model.pt,55199224,20260207,78.07889,6.5,[6.50898521],7.317305485948456,10.670441109633616,0.9999999999999997,0.4971751412429379,78.0788879394531,88,1,0.6416063245590179
best_model.pt,55273179,20260207,148.76033,4.1,[10.45811196],8.521680442899997,9.792225930895928,0.5609441030932211,0.015931907463989526,83.44622999999997,146,58,1.3883478435772019
best_model.pt,55954706,20260207,1000.0,33.01,[0.71305768],0.29145184729999996,11.48425905256202,0.0033471200000000003,0.014891774891774892,3.3471200000000003,4,55,-0.6520975572097935
best_model.pt,56069198,20260207,355.1182,6.0,[32.74950256],26.991535506790147,13.156649844322219,0.9999999999999999,0.8941176470588236,355.11819458007807,76,1,1.1927749740537033
best_model.pt,56094571,20260207,305.08475,6.1,[0.99213791],0.0,0.0,0.0,0.0,0.0,0,65,-1.0
best_model.pt,56864799,20260207,6.76347,5.22,[1.4825993],0.0,0.0,0.0,0.0,0.0,0,27,-1.0
best_model.pt,57374168,20260207,122.44898,13.0,[0.78899592],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
